1,100,2,102,6,427,0,-394,2,12,8,15,3
2,1,4,-683,1,100,9,-783,7,-681,5,142,6
3,-294,9,437,5,512,6,77,7,402,3,230,4
4,125,0,634,4,-698,7,101,2,503,1,537,8
5,1,7,-796,0,-357,6,415,2,137,6,-573,0
6,-298,3,516,3,27,5,-369,6,115,0,238,1
7,325,1,139,8,-697,9,-661,7,425,4,530,6
8,138,8,28,2,400,0,-347,6,-797,6,-658,8
9,500,5,416,2,505,1,417,2,115,7,412,9
10,-299,4,528,0,537,8,-773,2,501,6,-296,5
11,539,4,105,2,139,2,138,9,-273,4,-685,3
12,30,9,525,4,177,6,-399,8,5,0,112,6
13,429,8,426,3,-771,0,528,3,103,1,530,1
14,500,1,402,9,0,0,-287,5,504,4,-385,6
15,-682,3,28,6,540,6,40,5,514,3,15,9
16,-396,8,-784,3,-758,0,-796,3,-661,8,139,1
17,428,7,525,9,-700,0,401,7,400,8,28,5
18,-260,5,-699,7,-399,8,26,9,441,1,139,5
19,104,7,0,1,516,4,527,9,13,4,128,1
20,-297,9,101,9,17,7,540,0,402,1,141,5
21,-362,5,538,2,-381,8,2,0,0,6,-298,0
22,-787,2,-373,7,428,2,428,7,25,0,539,5
23,0,1,103,3,-672,8,-356,6,1,6,541,8
24,-359,1,13,9,-699,7,401,6,515,6,503,4
25,416,5,-798,0,100,1,-275,0,126,6,525,1
26,738,2,-707,2,401,0,-785,1,-785,9,401,4
27,513,6,416,5,2,0,3,8,-657,3,-771,5
28,20,8,-795,7,516,1,29,4,3,6,505,5
29,503,1,-786,3,-279,6,427,4,-769,9,102,0
30,-696,4,40,7,425,6,500,0,537,2,-297,2
31,528,0,103,0,154,8,28,8,-698,4,-698,0
32,100,2,141,9,-771,3,404,7,429,0,102,4
33,113,5,-298,0,513,2,112,9,526,6,526,3
34,326,6,113,4,100,0,404,8,-396,8,-759,4
35,426,9,-683,7,441,4,100,6,127,6,28,6
36,-770,0,100,8,414,4,531,0,-759,2,428,3
37,727,0,28,5,527,5,-772,9,-800,0,1,7
38,130,6,1,2,425,3,13,1,-674,8,314,2
39,402,0,415,2,-375,0,-695,5,117,7,-761,6
40,4,0,417,3,514,9,438,1,-774,0,-372,2
41,12,5,-398,2,502,7,29,4,-492,5,-796,4
42,125,0,517,2,-286,5,401,7,125,0,-762,0
43,4,7,16,2,-697,4,401,6,437,7,1,2
44,504,5,-699,2,-771,7,-691,7,-687,1,-273,9
45,127,3,-375,0,137,7,403,8,513,6,127,0
46,532,3,50,5,-796,0,500,7,439,6,-770,0
47,427,8,25,0,123,6,-798,1,3,5,88,0
48,539,3,4,8,501,1,114,3,501,7,-673,1
49,18,2,501,1,128,6,37,5,39,2,130,1
50,125,0,-774,0,-698,1,440,6,-271,0,12,8
51,525,4,-699,4,103,7,100,3,112,8,406,2
52,125,0,-396,8,-285,7,400,4,500,1,430,7
53,-624,6,-283,2,-697,5,-382,2,404,7,25,0
54,5,0,108,4,539,1,525,4,-786,6,-794,7
55,-799,1,-796,3,475,9,537,7,138,4,11,5
56,500,0,5,8,-672,7,-274,1,6,1,130,5
57,528,1,-399,5,41,1,-791,7,0,0,-385,3
58,404,0,4,7,-383,2,100,0,26,1,-285,5
59,414,5,0,9,-294,8,1,3,526,7,43,0
60,518,1,-683,8,-595,1,103,3,90,1,5,2
61,115,2,102,0,117,6,-272,8,401,3,426,4
62,-244,2,-299,0,-697,3,528,3,-383,6,26,2
63,503,4,-771,0,400,8,3,3,537,6,-783,0
64,538,5,405,0,430,9,37,5,-673,6,500,1
65,501,6,25,8,-399,0,-398,2,440,7,39,5
66,103,7,423,7,514,6,-786,2,-299,5,100,0
67,14,3,100,5,-395,2,100,5,40,8,141,1
68,705,2,-771,8,338,2,528,3,-772,1,5,0
69,-298,4,112,9,477,2,639,1,126,5,-369,9
70,454,3,500,5,1,7,-286,9,101,7,543,7
71,-687,5,475,8,-672,9,-781,3,-674,9,-674,9
72,440,1,27,6,529,3,401,7,-799,1,25,8
73,400,5,544,7,-798,7,-396,1,13,3,501,1
74,104,5,-798,8,400,5,40,3,-260,8,122,2
75,3,1,-400,0,416,8,-771,8,129,0,4,2
76,101,6,-772,7,-384,5,401,4,3,5,-271,4
77,512,7,-798,4,100,0,18,6,539,1,526,3
78,3,2,-297,9,-760,8,2,5,727,6,26,3
79,127,0,705,5,-799,0,-773,4,529,9,-771,1
80,-398,7,428,7,-374,8,402,1,79,9,-298,4
81,404,1,102,1,539,9,-297,8,2,8,-97,4
82,-696,9,105,2,1,6,-399,1,536,4,-695,8
83,112,6,117,0,512,9,4,1,31,2,100,8
84,505,1,39,5,0,1,-374,6,114,5,-394,9
85,-686,5,-684,0,-270,4,402,6,114,2,101,6
86,138,3,-668,8,-270,9,525,6,-794,7,56,2
87,540,0,514,0,-694,8,401,7,2,1,130,0
88,3,0,-686,4,-673,0,101,0,-687,5,114,1
89,0,8,37,5,-698,4,-261,7,-762,5,-298,5
90,-673,6,127,1,427,0,-785,5,2,0,540,6
91,-269,8,3,2,-257,3,125,8,-784,3,25,8
92,14,0,-671,1,429,7,25,9,127,8,27,6
93,38,0,-271,7,718,5,105,0,1,1,-298,8
94,126,0,-797,2,-270,9,-259,2,-772,9,-770,3
95,27,3,-396,6,-372,3,112,9,3,9,-362,4
96,0,3,-395,2,529,7,114,1,426,3,405,7
97,-370,2,425,9,139,9,-659,2,539,6,101,2
98,-757,4,-284,1,112,5,526,6,414,0,525,1
99,25,8,-399,4,29,0,30,5,-774,5,-759,3
